           1   5.5365894209494295E-026   5.5365894209494295E-026   6.8826946712859709E-026
          21   7.9018070208988784E-013   6.6564211476170505E-013   6.5770633652856284E-013
          41   6.4719544787826390E-009   6.2469172319581177E-009   5.1996170450147774E-009
          61   1.9360073706915762E-016   3.0447174236566367E-016   2.4067068371387880E-016
          81   1.6167605696089153E-007   1.7024529429875276E-007   1.3457094921059578E-007
         101   4.6560883537333828E-008   4.4941908454102149E-008   3.7407365034064197E-008
         121   9.3738674924559671E-019   1.1793528506915597E-018   1.1652926185124963E-018
         141   8.3695187617464503E-012   5.6038939613637718E-012   6.9663628948877317E-012
         161   1.2620317546416061E-010   1.0261596959651937E-010   1.2756488398045114E-010
         181   1.0068026324230364E-015   1.5036782600700109E-015   1.5746552256757003E-015
         201   6.7702636893185904E-006   7.0141538265411572E-006   7.0898352265142125E-006
         221   3.4905259512850545E-005   3.5477301338339236E-005   3.5281880695060631E-005
         241   8.0772596111303208E-015   1.2063535877898759E-014   1.2632961661210112E-014
         261   6.9807474522440763E-007   6.5594836571177983E-007   7.3102542922225053E-007
         281   1.9971290555180100E-009   1.2907016034286955E-009   2.0186777022380955E-009
         301   3.0928784963155474E-018   3.8912381409358814E-018   5.3958187223323492E-018
         321   6.9083012895156246E-007   6.4914093679834148E-007   8.0696590029053858E-007
         341   2.5744952239244748E-004   2.5744952239244748E-004   2.9027277284713780E-004
         361   9.8166038167193592E-013   1.5438363063268128E-012   1.7125992736886828E-012
         381   4.0342582758379274E-004   4.1795872984043165E-004   4.7124592937294559E-004
         401   2.9941451365108233E-005   2.7156317274560661E-005   3.3758804561187453E-005
         421   5.4607727009766671E-017   5.4607727009766671E-017   9.5268338583078705E-017
         441   2.6088788772430261E-012   1.7468006228665160E-012   3.2431728960230427E-012
         461   8.8927769515970013E-006   8.0655766951528185E-006   1.0670478195933786E-005
         481   2.2962408137730524E-012   3.5530204932497619E-012   4.2632833263763602E-012
         501   4.9475154877960306E-003   5.2097462425819661E-003   6.1503998030107100E-003
         521   5.7636099153371093E-003   5.7636099153371093E-003   6.9157783070706493E-003
         541   2.7147717004754346E-013   3.8098828311577024E-013   5.0403428316988415E-013
         561   1.0881494863454927E-005   9.1664871510046230E-006   1.3527101437022191E-005
         581   1.4944692701011810E-011   9.6584338296264489E-012   1.8578180355591848E-011
         601   3.3505483697530111E-014   4.7021253045513449E-014   6.4448432324988199E-014
         621   8.1578027345279784E-004   8.1578027345279784E-004   1.0506524723218813E-003
         641   3.0783492294250592E-002   3.1287984894296648E-002   3.8267850885875990E-002
         661   2.2371013480520219E-011   3.4615127853445966E-011   4.3031068029230923E-011
         681   4.1465083353937789E-003   4.1465083353937789E-003   5.3403341265481543E-003
         701   6.9608306945426218E-005   5.6598606833038872E-005   8.6532102502982248E-005
         721   2.7173884646078501E-020   2.7173884646078501E-020   5.3126095537242034E-020
         741   1.9107537999760145E-007   1.6096042295655995E-007   2.5012109712682574E-007
         761   2.5525760974735960E-003   2.4638201120647514E-003   3.2251846865907585E-003
         781   5.9227578846396441E-011   9.3145947688310186E-011   1.1579242545608116E-010
         801   4.4367083068468774E-002   4.6718649972987483E-002   5.8077306943164132E-002
         821   1.3171428060664993E-002   1.2713442468022688E-002   1.6642124058057772E-002
         841   1.3107745041289520E-013   1.6491225732627420E-013   2.5626196784560602E-013
         861   1.4247958156761331E-006   9.5398611257521829E-007   1.8650832598270822E-006
         881   3.2578432409354495E-007   2.6489566663637177E-007   4.1162910451044468E-007
         901   2.6468398490402511E-012   3.9531040252748454E-012   5.1746840219322192E-012
         921   1.2233650731982263E-002   1.2674352437657837E-002   1.6014068076108022E-002
         941   7.5214968565705559E-002   7.6447622570370979E-002   9.5034253850693723E-002
